epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03276,1.36642,4.6013,1.22864,0,0,0,0,1.78118,4.30421,1.55596,8.5e-05,8.5e-05,8.5e-05
2,6.7817,1.1164,3.7198,1.07314,0.02325,0.22942,0.16331,0.12168,1.33799,3.62275,1.19969,0.000166338,0.000166338,0.000166338
3,9.68754,1.09958,2.71803,1.06838,0.90134,0.11351,0.22396,0.16829,1.20502,2.67827,1.0776,0.000238765,0.000238765,0.000238765
4,12.5335,1.00197,2.19601,1.01206,0.87506,0.18271,0.31522,0.24401,1.11452,2.42577,1.04707,0.000302283,0.000302283,0.000302283
5,15.259,0.99357,1.87445,1.00151,0.83303,0.22214,0.38503,0.28823,1.07289,1.96401,1.0358,0.00035689,0.00035689,0.00035689
6,17.9635,0.9472,1.59889,0.99067,0.84667,0.44203,0.51683,0.39161,0.93805,1.56563,0.99312,0.00037625,0.00037625,0.00037625
7,20.7577,0.92846,1.47816,0.98508,0.82817,0.45382,0.52219,0.39709,0.98536,1.31067,1.01078,0.0003515,0.0003515,0.0003515
8,23.6802,0.88048,1.30934,0.97625,0.88601,0.48416,0.55045,0.42575,0.97907,1.09663,0.98666,0.00032675,0.00032675,0.00032675
9,26.3901,0.87198,1.32562,0.95808,0.97694,0.48796,0.58418,0.45511,0.89063,1.07982,1.0212,0.000302,0.000302,0.000302
10,29.0969,0.85512,1.15011,0.96795,0.84547,0.59086,0.63536,0.48893,0.82228,1.06632,0.95944,0.00027725,0.00027725,0.00027725
11,55.2676,0.80776,1.34737,0.9704,0.9297,0.60824,0.65118,0.51027,0.83136,0.92124,0.97494,0.0002525,0.0002525,0.0002525
12,57.9247,0.79957,1.26017,0.95072,0.77295,0.6871,0.67851,0.53342,0.87156,0.87484,0.95803,0.00022775,0.00022775,0.00022775
13,60.6584,0.79677,1.17004,0.94475,0.71477,0.72481,0.73629,0.57565,0.85478,0.82351,0.99624,0.000203,0.000203,0.000203
14,64.3629,0.78045,1.11795,0.9484,0.87996,0.68285,0.76007,0.60171,0.86092,0.79645,0.94163,0.00017825,0.00017825,0.00017825
15,67.3618,0.76544,1.08471,0.9339,0.8674,0.69,0.76452,0.59513,0.8766,0.77607,0.95197,0.0001535,0.0001535,0.0001535
16,70.4604,0.76004,1.04422,0.9476,0.86792,0.72116,0.78119,0.61512,0.86256,0.74233,0.93672,0.00012875,0.00012875,0.00012875
17,73.5052,0.73489,1.01232,0.926,0.87447,0.71336,0.78272,0.60707,0.82307,0.71159,0.94209,0.000104,0.000104,0.000104
18,76.4046,0.72518,0.97137,0.91998,0.9142,0.71187,0.78935,0.62252,0.76488,0.67392,0.92636,7.925e-05,7.925e-05,7.925e-05
19,79.3018,0.72231,1.0054,0.92077,0.9045,0.73583,0.79642,0.6365,0.76208,0.66153,0.92061,5.45e-05,5.45e-05,5.45e-05
20,82.0219,0.7069,0.97302,0.91336,0.88987,0.75035,0.7996,0.63819,0.75548,0.64541,0.91984,2.975e-05,2.975e-05,2.975e-05
