epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,121.022,0.68141,0.62416,0.9021,0.84311,0.77512,0.83655,0.65129,0.78927,0.56199,0.93388,0.000398525,0.000398525,0.000398525
43,123.784,0.67695,0.60937,0.89551,0.84399,0.77953,0.83727,0.65568,0.78566,0.57855,0.93178,0.00039605,0.00039605,0.00039605
44,126.616,0.65905,0.60297,0.89931,0.82917,0.80387,0.83963,0.65461,0.87811,0.57696,0.97373,0.000393575,0.000393575,0.000393575
45,129.376,0.66978,0.6107,0.8968,0.79718,0.79356,0.83946,0.64261,0.84581,0.60057,0.9862,0.0003911,0.0003911,0.0003911
46,132.155,0.67829,0.60486,0.89683,0.77977,0.80529,0.80557,0.62607,0.85321,0.63484,0.9729,0.000388625,0.000388625,0.000388625
47,134.883,0.65105,0.60669,0.89382,0.81141,0.80442,0.86278,0.67468,0.79428,0.58575,0.91378,0.00038615,0.00038615,0.00038615
48,137.634,0.65955,0.60257,0.90311,0.84684,0.7825,0.85255,0.67647,0.7451,0.57761,0.90866,0.000383675,0.000383675,0.000383675
49,140.442,0.66943,0.58915,0.89226,0.8103,0.77549,0.84105,0.66976,0.73995,0.58982,0.91699,0.0003812,0.0003812,0.0003812
50,143.221,0.6348,0.56428,0.87819,0.8224,0.80876,0.85383,0.67393,0.77937,0.54035,0.92019,0.000378725,0.000378725,0.000378725
51,145.986,0.64698,0.58275,0.89381,0.82098,0.76998,0.84343,0.66503,0.78309,0.54603,0.9202,0.00037625,0.00037625,0.00037625
52,148.912,0.63757,0.558,0.88728,0.8495,0.77452,0.80937,0.63649,0.82753,0.59198,0.93394,0.000373775,0.000373775,0.000373775
53,151.879,0.63965,0.56031,0.88241,0.82964,0.78172,0.84398,0.6535,0.82902,0.58668,0.94395,0.0003713,0.0003713,0.0003713
54,155.148,0.6586,0.58377,0.89967,0.81205,0.80267,0.85967,0.68017,0.88727,0.6079,0.94363,0.000368825,0.000368825,0.000368825
55,158.254,0.63151,0.555,0.88612,0.83957,0.778,0.86066,0.68446,0.77246,0.553,0.91078,0.00036635,0.00036635,0.00036635
56,162.201,0.6306,0.55743,0.88487,0.82726,0.78687,0.85566,0.67915,0.777,0.54699,0.91059,0.000363875,0.000363875,0.000363875
57,166.11,0.62184,0.54498,0.88832,0.81208,0.83089,0.86525,0.69062,0.72916,0.53354,0.90457,0.0003614,0.0003614,0.0003614
58,170.031,0.62933,0.53735,0.88127,0.84392,0.79875,0.85254,0.66783,0.83334,0.5643,0.92672,0.000358925,0.000358925,0.000358925
59,173.814,0.60727,0.54312,0.87792,0.82997,0.79613,0.85006,0.65481,0.80214,0.55664,0.94125,0.00035645,0.00035645,0.00035645
60,177.78,0.60757,0.5276,0.87756,0.83076,0.79815,0.86068,0.67653,0.79943,0.55175,0.93364,0.000353975,0.000353975,0.000353975
61,181.54,0.62388,0.53733,0.87898,0.8165,0.80715,0.8632,0.68068,0.76537,0.52937,0.91194,0.0003515,0.0003515,0.0003515
62,185.345,0.61706,0.54174,0.88021,0.80566,0.77847,0.8472,0.66529,0.74044,0.57816,0.90265,0.000349025,0.000349025,0.000349025
63,189.026,0.6039,0.53469,0.86834,0.79696,0.79164,0.8235,0.64272,0.82619,0.60653,0.91182,0.00034655,0.00034655,0.00034655
64,192.744,0.58697,0.52052,0.87367,0.81862,0.7663,0.84962,0.67373,0.76524,0.55379,0.90245,0.000344075,0.000344075,0.000344075
65,196.36,0.59568,0.52538,0.87817,0.80303,0.77916,0.83348,0.66181,0.79554,0.56782,0.9085,0.0003416,0.0003416,0.0003416
66,200.283,0.61665,0.51708,0.87518,0.84204,0.77736,0.85236,0.67757,0.78197,0.51413,0.90937,0.000339125,0.000339125,0.000339125
67,203.865,0.5942,0.50859,0.87082,0.83592,0.78569,0.84283,0.66689,0.86197,0.5764,0.92598,0.00033665,0.00033665,0.00033665
68,207.505,0.60313,0.53155,0.87808,0.84558,0.76732,0.83102,0.6629,0.78601,0.57083,0.91233,0.000334175,0.000334175,0.000334175
69,211.084,0.608,0.52786,0.88294,0.82629,0.78076,0.82369,0.65457,0.77194,0.559,0.90818,0.0003317,0.0003317,0.0003317
70,214.79,0.58436,0.51081,0.87295,0.83954,0.78794,0.82408,0.64789,0.83963,0.53183,0.91465,0.000329225,0.000329225,0.000329225
71,218.441,0.58858,0.51437,0.88331,0.84127,0.77295,0.82121,0.64815,0.86385,0.54175,0.94239,0.00032675,0.00032675,0.00032675
