epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16667,1.36642,4.6013,1.22864,0,0,0,0,1.78118,4.30421,1.55596,8.5e-05,8.5e-05,8.5e-05
2,5.88336,1.11539,3.70098,1.07348,0.02132,0.2413,0.16533,0.12573,1.33553,3.51224,1.18151,0.000174654,0.000174654,0.000174654
3,8.70456,1.10157,2.69508,1.06769,0.92323,0.11009,0.2297,0.1707,1.24738,2.58552,1.09063,0.000263951,0.000263951,0.000263951
4,11.409,1.00568,2.12847,1.00919,0.87393,0.16291,0.32258,0.2431,1.21476,2.38758,1.10852,0.000352891,0.000352891,0.000352891
5,14.1208,0.98723,1.83785,1.00006,0.82516,0.21618,0.39429,0.29701,1.10746,1.9694,1.04251,0.000441476,0.000441476,0.000441476
6,16.8612,0.93852,1.57486,0.98606,0.82391,0.38428,0.47849,0.35128,1.02912,1.54092,1.03797,0.00049505,0.00049505,0.00049505
7,19.6683,0.93582,1.4424,0.98565,0.89961,0.37259,0.48538,0.35563,1.0283,1.60959,1.02716,0.00049406,0.00049406,0.00049406
8,22.4702,0.89909,1.28733,0.97622,0.89538,0.48875,0.59915,0.43924,1.02385,1.17489,1.04421,0.00049307,0.00049307,0.00049307
9,25.162,0.90255,1.27309,0.96583,0.79481,0.53376,0.61265,0.46207,1.05392,1.20584,1.13422,0.00049208,0.00049208,0.00049208
10,27.891,0.89004,1.14043,0.97873,0.91866,0.60276,0.71909,0.54686,0.87027,0.98784,0.9852,0.00049109,0.00049109,0.00049109
11,30.6706,0.85782,1.09076,0.95986,0.82024,0.73723,0.74682,0.57368,0.81529,0.8734,0.96179,0.0004901,0.0004901,0.0004901
12,33.4174,0.84172,1.04193,0.96053,0.94191,0.66227,0.75937,0.58195,0.85066,0.85553,0.94619,0.00048911,0.00048911,0.00048911
13,36.2755,0.82659,0.95277,0.94152,0.84447,0.75467,0.76054,0.60182,0.84259,0.76405,0.94591,0.00048812,0.00048812,0.00048812
14,39.2134,0.81774,0.97433,0.95342,0.84129,0.75733,0.79072,0.62062,0.82641,0.76642,0.94377,0.00048713,0.00048713,0.00048713
15,42.2143,0.82009,0.92702,0.94631,0.84965,0.75764,0.79272,0.62049,0.84749,0.75908,0.959,0.00048614,0.00048614,0.00048614
16,45.6641,0.80059,0.91273,0.93898,0.85392,0.76304,0.81105,0.63877,0.90862,0.81277,0.97579,0.00048515,0.00048515,0.00048515
